pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
REACTOME_CELL_CYCLE_MITOTIC,1.1061702174730647e-5,0.0021117095988557144,-0.47070441263787627,-1.7948205377186788,0,298,"CDKN2C, TYMS, CDKN2A, KIF20A, SPC24, RRM2, E2F2, E2F1, PTTG1, DHFR, AURKB, POLE2, CCNA2, DHFRP1, PCNA, CDCA8, PLK4, CENPA, ERCC6L, BUB1, BIRC5, TUBB4A, PSMB9, CCNE2, INCENP, POLA2, FBXO5, CCNB1, CENPI, MYBL2, CENPO, LIG1, MCM2, CDK1, SPC25, ORC1, CDT1, MCM5, MAD2L1, MCM4, POLD1, PKMYT1, CENPM, MCM6, MCM10, GINS2, CCNB2, ZWINT, AURKA, CDK2, PLK1, MCM3, BUB1B, TUBB, NUF2, CDKN2D, CDC6, 
UBE2C, NEK2, CDC20, TUBB4B, KIF18A, KIF2C, GMNN, ORC6, SKA2, ITGB3BP, DNA2, SKP2, CCND3, CENPJ, FEN1, KIF23, KNTC1, RFC2, TUBA4A, GINS1, GINS4, CENPQ, RPA3, CDC25C, MCM7, CDC45, TUBG2, RFC5, CDC25A, NDC80, TUBGCP6, CDC7, DSN1, PSMA2, CEP41, RANGAP1, PRIM2, CENPK, TUBG1, PRKACA, PRKAR2B, DCTN3, PRIM1, CEP192, POLE, WEE1, PSMB8, RPA2, CENPH, MCM8, PPP2R5D, RBBP4P1, PPP2R1A, SMC1A, PPP2R3B, 
CENPN, RFC3, NUP107, CDC25B, PSME1, DBF4"
REACTOME_DNA_REPLICATION,1.1833759348669886e-5,0.0021117095988557144,-0.5411143531495104,-1.9759054944786483,0,178,"KIF20A, SPC24, E2F2, E2F1, AURKB, POLE2, CCNA2, PCNA, CDCA8, CENPA, ERCC6L, BUB1, BIRC5, PSMB9, INCENP, POLA2, FBXO5, CENPI, CENPO, LIG1, MCM2, SPC25, ORC1, CDT1, MCM5, MAD2L1, MCM4, POLD1, CENPM, MCM6, MCM10, GINS2, ZWINT, CDK2, PLK1, MCM3, BUB1B, NUF2, CDC6, CDC20, KIF18A, KIF2C, GMNN, ORC6, SKA2, ITGB3BP, DNA2, FEN1, KIF23, KNTC1, RFC2, GINS1, GINS4, CENPQ, RPA3, MCM7, CDC45, RFC5, 
NDC80, CDC7, DSN1, PSMA2, RANGAP1, PRIM2, CENPK, PRIM1, POLE, PSMB8, RPA2, CENPH, MCM8, PPP2R5D, PPP2R1A, SMC1A, CENPN, RFC3, NUP107, PSME1, DBF4, RPA1, RAD21"
NABA_CORE_MATRISOME,1.191710462026146e-5,0.0021117095988557144,-0.5689642451779108,-2.0669788387203782,0,169,"NTNG2, COL8A2, IGFBP5, FBLN7, SRGN, MFAP2, HMCN2, SPOCK3, CHAD, DMBT1, COL1A1, COL8A1, COL13A1, EMILIN3, FBN3, SSPO, VWA7, IGSF10, HAPLN3, VWA5B2, HMCN1, COL24A1, EFEMP1, MFAP5, COL9A2, COL27A1, SRPX2, FBLN5, CTHRC1, FN1, FBLN1, NID1, VWA1, MATN2, MGP, COL4A1, SLIT1, COL6A1, CRISPLD2, NPNT, LTBP1, KCP, COL9A3, SPARCL1, EDIL3, SBSPON, GAS6, NTN4, LGI2, CRISPLD1, FBN1, COL18A1, NTN1, COL23A1, 
HSPG2, ZPLD1, COL4A6, VWF, AEBP1, NELL2, VCAN, PCOLCE, ECM1, THSD4, IGFBP2, EMID1, VIT, AGRN, PXDN, COL28A1, SMOC1, FBLN2, LTBP2, COCH, MFGE8, WISP2, CTGF, OTOG, PODN, SVEP1, CILP2, IGFBP6, TNC"
REACTOME_GPCR_LIGAND_BINDING,1.1993427601674282e-5,0.0021117095988557144,-0.5101894881297478,-1.8454408511022742,0,162,"INSL3, FZD8, KISS1, SSTR2, WNT6, CNR1, RAMP1, NPY1R, GIPR, EDN2, ADRA2A, WNT10A, S1PR1, NMU, GNB3, OPRL1, ADORA1, CCR9, GPR55, ADRB2, NTSR1, PTAFR, RXFP4, S1PR5, F2R, WNT3A, HTR1D, GNG11, HTR6, SSTR1, FZD2, NPW, GRM4, CCR7, P2RY6, CCL2, GABBR2, ADRA1D, P2RY2, HCAR3, S1PR3, WNT2B, GPR132, CXCR4, ADRB1, RLN2, PTGER2, NMB, VIPR1, XCL1, F2RL2, SAA1, HCAR2, WNT4, ADORA2A, ADM, LPAR1, PTCH1, 
OPN3, TACR2, FZD1"
REACTOME_MITOTIC_M_M_G1_PHASES,1.2038619892615511e-5,0.0021117095988557144,-0.527613518413073,-1.9035243903959729,0,158,"KIF20A, SPC24, E2F2, E2F1, AURKB, POLE2, CDCA8, CENPA, ERCC6L, BUB1, BIRC5, PSMB9, INCENP, POLA2, FBXO5, CENPI, CENPO, MCM2, SPC25, ORC1, CDT1, MCM5, MAD2L1, MCM4, CENPM, MCM6, MCM10, ZWINT, CDK2, PLK1, MCM3, BUB1B, NUF2, CDC6, CDC20, KIF18A, KIF2C, GMNN, ORC6, SKA2, ITGB3BP, KIF23, KNTC1, CENPQ, RPA3, MCM7, CDC45, NDC80, CDC7, DSN1, PSMA2, RANGAP1, PRIM2, CENPK, PRIM1, POLE, PSMB8, 
RPA2, CENPH, MCM8, PPP2R5D, PPP2R1A, SMC1A, CENPN, NUP107, PSME1, DBF4, RPA1, RAD21"
NABA_ECM_GLYCOPROTEINS,1.2406178276781837e-5,0.0021117095988557144,-0.5728681623550038,-2.0149148367179706,0,126,"NTNG2, IGFBP5, FBLN7, MFAP2, HMCN2, DMBT1, EMILIN3, FBN3, SSPO, VWA7, IGSF10, VWA5B2, HMCN1, EFEMP1, MFAP5, SRPX2, FBLN5, CTHRC1, FN1, FBLN1, NID1, VWA1, MATN2, MGP, SLIT1, CRISPLD2, NPNT, LTBP1, KCP, SPARCL1, EDIL3, SBSPON, GAS6, NTN4, LGI2, CRISPLD1, FBN1, NTN1, ZPLD1, VWF, AEBP1, NELL2, PCOLCE, ECM1, THSD4, IGFBP2, EMID1, VIT, AGRN, PXDN, SMOC1, FBLN2, LTBP2, COCH, MFGE8, WISP2, CTGF, 
OTOG, SVEP1, CILP2, IGFBP6, TNC"
REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS,1.265438347843693e-5,0.0021117095988557144,-0.5387988472384272,-1.861934628745323,0,109,"INSL3, KISS1, SSTR2, CNR1, NPY1R, EDN2, ADRA2A, S1PR1, NMU, OPRL1, ADORA1, CCR9, GPR55, ADRB2, NTSR1, PTAFR, RXFP4, S1PR5, F2R, HTR1D, HTR6, SSTR1, NPW, CCR7, P2RY6, CCL2, ADRA1D, P2RY2, HCAR3, S1PR3, GPR132, CXCR4, ADRB1, RLN2, PTGER2, NMB, XCL1, F2RL2, SAA1, HCAR2, ADORA2A, LPAR1"
NABA_ECM_AFFILIATED,1.2886099764184374e-5,0.0021117095988557144,-0.6044047411750738,-2.053564489987784,0,96,"MUC3A, CSPG4, SEMA5A, FREM1, SEMA3G, REG4, ELFN2, SEMA3D, ANXA6, SEMA3C, C1QL1, SEMA6D, SEMA3E, SEMA3F, COLEC12, ANXA9, CLEC2L, LGALS1, SEMA6B, SEMA7A, SDC1, GPC3, PLXND1, C1QL4, CLEC7A, MUC1, LGALS9, LGALS4, C1QTNF2, SEMA4G, SEMA4F, SEMA4B, SEMA6A, PLXNC1, GPC5, CSPG5, MUC5B, COLEC11, C1QTNF5, GREM1, GPC4, REG1A, SEMA6C, C1QTNF1, PLXDC2, GPC2, ANXA4, FREM2, LGALS12, GPC1, ANXA11"
PID_AURORA_B_PATHWAY,2.899138955730148e-5,0.0036517698967142424,-0.6945040819483302,-2.0264830352262564,1,37,"VIM, SEPT1, DES, KIF20A, KLHL13, AURKB, CDCA8, NCAPH, STMN1, CENPA, BUB1, BIRC5, INCENP, NCAPD2, RACGAP1, AURKA, NCAPG, KIF2C, SMC4, KIF23, SMC2, NDC80"
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,2.9232927970065482e-5,0.0036517698967142424,0.8095797847553357,2.4156200395875045,0,24,"WARS, SARS, GARS, IARS, EPRS, CARS, MARS, AIMP2, YARS, NARS, TARS, AARS, LARS, FARSB"
