pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
HALLMARK_G2M_CHECKPOINT,2.9600686735932275e-5,7.435828797477767e-4,-0.513543111426373,-1.9296683650347246,0,192,"CDKN2C, CENPE, SQLE, KIF15, MKI67, CASP8AP2, KIF20B, POLA2, SAP30, MT2A, H2AFX, GINS2, SMC4, FBXO5, HMMR, PBK, CENPF, BRCA2, E2F1, CENPA, NASP, KIF11, CDK1, KIF2C, UBE2S, ORC6, EXO1, LMNB1, NUSAP1, CDC45, MCM3, TACC3, TOP2A, POLQ, TTK, MCM2, AURKB, INCENP, TPX2, TMPO, ARID4A, CCNA2, KIF23, KIF22, MNAT1, ESPL1, SS18, CBX1, BUB1, STMN1, AURKA, BCL3, DBF4, MYBL2, PLK4, MCM6, BARD1, PRC1, 
PDS5B, CDC7, RACGAP1, PRPF4B, RAD54L, PTTG1, RBM14, UBE2C, CDC25A, CKS2, TNPO2, FANCC, KIF4A, E2F2, TROAP, CCNF, CHEK1, EZH2, NDC80, KPNA2, MCM5, EGF, H2AFZ, PML, NEK2, CDKN3, HMGB3, KATNA1, STIL, SMC2, ILF3, CCNB2, H2AFV, ATF5, CHAF1A, SNRPD1, POLE, TOP1, AMD1"
HALLMARK_E2F_TARGETS,2.9743315189911066e-5,7.435828797477767e-4,-0.5460857480198698,-2.05670590308668,0,196,"MXD3, CDKN2C, CENPE, SPC24, RRM2, MKI67, SMC6, POLA2, H2AFX, SMC4, E2F8, HMMR, DSCC1, BRCA2, MSH2, BUB1B, NASP, SPAG5, GINS4, DLGAP5, CDK1, KIF2C, PCNA, UBE2S, ORC6, ATAD2, LMNB1, LIG1, RANBP1, MCM4, HMGB2, MCM3, TACC3, TOP2A, POLD3, ASF1B, CCP110, MCM2, CDCA3, AURKB, DUT, UBE2T, CENPM, TMPO, KIF22, ESPL1, UBR7, MELK, PSIP1, STMN1, NCAPD2, AURKA, CDCA8, GINS1, POLD1, BRCA1, MYBL2, PLK4, 
PAN2, MCM6, BARD1, CIT, TCF19, MCM7, PDS5B, PPM1D, RACGAP1, DCK, PAICS, RPA3, TRIP13, PTTG1, GINS3, CDC25A, DNMT1, CKS2, SSRP1, DEK, DONSON, KIF4A, DIAPH3, RNASEH2A, RBBP7, NUP107, CHEK1, EZH2, TUBG1, KPNA2, NUP153, MCM5, H2AFZ, RAD50, CDKN3, HMGB3, ILF3, CCNB2, SMC3, MMS22L, CDKN2A, POLE, HELLS, RFC1, DEPDC1, PSMC3IP, PRIM2, TIMELESS, NUDT21"
HALLMARK_KRAS_SIGNALING_UP,0.0025667035534243207,0.04277839255707201,0.4421245755330776,1.5206755712321753,166,162,"MAP4K1, TRAF1, TNFRSF1B, IRF8, CFH, EPB41L3, FLT4, GNG11, ACE, ANXA10, FGF9, ABCB1, LAPTM5, APOD, C3AR1, EREG, RGS16, IL2RG, G0S2, SLPI, NGF, NAP1L2, AMMECR1, FBXO4, GABRA3, BMP2, SNAP91, TMEM176A, PCP4, IKZF1, CMKLR1, ANGPTL4, SPARCL1, SERPINA3, MMP10, PTGS2, LY96, HOXD11, RBP4, ETV1, HBEGF, PTCD2, DUSP6, PPP1R15A, KLF4, TFPI"
HALLMARK_XENOBIOTIC_METABOLISM,0.008608762490392005,0.10760953112990007,0.4182513378662771,1.4378228798117096,559,161,"AKR1C2, HRG, HNF4A, GSTM4, ATOH8, IRF8, LEAP2, DDC, GNMT, ARG2, UPP1, F10, GSTT2, GCNT2, ABCC3, PDK4, CYP2J2, CES1, ADH7, TDO2, CYP2C18, CYP1A2, REG1A, PTGDS, RBP4, ALDH3A1, SMOX, IGFBP4, CDA, LONP1, SERTAD1, PTGES, PDLIM5, SERPINE1, CYP27A1, HACL1, HSD17B2"
HALLMARK_KRAS_SIGNALING_DN,0.020996791715638004,0.20849411237521476,0.42304250454029213,1.4049389376632246,1321,122,"KRT13, CLDN16, CCNA1, SLC5A5, TEX15, P2RX6, YPEL1, GAMT, ARHGDIG, PRODH, SPRR3, KRT4, EDN2, BMPR1B, NTF3, SERPINB2, ABCG4, SGK1, SMPX, HTR1D, SNCB, IRS4, EDAR, PDCD1, ZBTB16, KRT1, LGALS7, CAPN9, NR4A2, RSAD2, TGM1, MFSD6, COPZ2, ALOX12B, BTG2, KLK7"
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.025019293485025768,0.20849411237521476,-0.44159632149901795,-1.4387200040037922,1004,70,"IDI1, HMGCS1, SQLE, HSD17B7, HMGCR, MVK, STARD4, GUSB, LPL, EBP, ACAT2, MVD, FDPS, ANTXR2, FDFT1, TMEM97, DHCR7, NSDHL, CYP51A1, LSS, PDK3, FASN, ALDOC, FADS2, LGMN, LDLR"
HALLMARK_ESTROGEN_RESPONSE_LATE,0.04410495556194831,0.31503539687105936,0.36898261620230755,1.28956018099938,2912,188,"KRT13, CCNA1, RET, AGR2, CYP4F11, MAPT, SERPINA1, DNAJC12, EGR3, SGK1, AREG, IL17RB, SLC7A5, TRIM29, TFF3, PCP4, CXCL12, HMGCS2, TFF1, SERPINA5, SERPINA3, ABCA3, FLNB, PLAC1, MEST, ASS1, IGFBP4, CISH, TNNC1, RAPGEFL1, ISG20, KLF4, CXCL14, PTGES, DHRS2, FOXC1, PLA2G16, CAV1, TST, IL6ST, OPN3, ZFP36, SLC16A1, CDH1, WISP2, FRK, AFF1, TFPI2, TPBG, PLXNB1"
HALLMARK_COAGULATION,0.08687787229881686,0.4836527463943984,0.39980216431298304,1.2784268086033093,5330,92,"HRG, HNF4A, CFH, C2, GDA, F2RL2, ANG, SERPINA1, MMP1, SERPINB2, F10, MMP2, S100A1, MMP7, HMGCS2, PROC, MMP10, CASP9, TIMP3, DUSP6, USP11, SERPINE1, ITGA2, CSRP1"
HALLMARK_ALLOGRAFT_REJECTION,0.08705749435099172,0.4836527463943984,0.37067263981270165,1.2482186559181498,5547,136,"CD74, MAP4K1, HLA-DMB, IRF8, C2, RPL3L, HLA-G, F2R, IL7, ZAP70, CD1D, EREG, LTB, IL2RG, PRKCG, APBB1, PRF1, CCL2, CCR2, HLA-DRA, CD8B, HLA-DQA1, KRT1, CD4"
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.14008321775312066,0.5916894620294386,0.37981337131805304,1.212767520068833,8584,91,"CD74, IFI27, IFITM1, IFITM2, IL7, IFI44, OASL, SELL, EPSTI1, IFI35, OAS1, BATF2, RSAD2, WARS, ISG20, ISG15, NMI"
