pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
HALLMARK_E2F_TARGETS,1.2499156306949281e-06,6.24957815347464e-5,-0.5257640346803466,-1.8788114313298316,0,196,"CDKN2A, CDKN2C, MXD3, E2F8, TK1, CDCA3, PTTG1, SPC25, MKI67, LMNB1, ASF1B, DLGAP5, POLD1, SPC24, ESPL1, BIRC5, PCNA, PLK4, UBE2T, CIT, TUBB, AURKB, SPAG5, STMN1, CDKN3, HELLS, PLK1, TACC3, CENPM, MCM5, MAD2L1, LIG1, MCM6, RRM2, SHMT1, ATAD2, TIMELESS, KPNA2, CDCA8, POLA2, KIF4A, DUT, NCAPD2, TOP2A, RACGAP1, CCNB2, TCF19, MCM2, KIF18B, MCM4, CDK1, CKS2, H2AFX, ANP32E, DIAPH3, MYBL2, UBE2S, 
AURKA, RFC2, MCM3, CDC20, KIF22, HMGA1, DONSON, MELK, CHEK1, RNASEH2A, HMGB2, BUB1B, RPA3, TRIP13, WEE1, DSCC1, ORC6, TMPO, CDC25A, SRSF2, CDC25B, DCTPP1, UBR7, RAD51AP1, UNG, CHEK2, SMC1A, SLBP, DNMT1, MCM7, DEPDC1, DDX39A, SUV39H1, SNRPB, TUBG1, SMC4, POLE, RFC3, GINS1, BARD1, POLD2, DCLRE1B, PNN, GINS3, CBX5, KIF2C, PRIM2, CDKN1B, PSMC3IP, CCNE1, DCK, NASP, RPA1, HMMR"
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,3.774781440154615e-6,9.436953600386537e-5,0.531604724451409,2.003669101508497,0,107,"ERN1, STC2, ATF3, CHAC1, CEBPG, XPOT, HERPUD1, MTHFD2, ASNS, CEBPB, SLC7A5, HSPA9, PSAT1, DDIT4, EIF4EBP1, IARS, VEGFA, ATF4, ATF6, EXOSC5, HYOU1, XBP1, WIPI1, TARS, EDEM1, DNAJB9, SDAD1, SRPRB, GOSR2, TSPYL2, HSPA5, RRP9, DNAJC3, DKC1, PARN, KIF5B, NOP14, DDX10"
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.953108939301571e-4,0.004921848232169285,-0.4579042955740029,-1.6204863882407947,232,178,"NNMT, MYL9, VIM, TGM2, COL8A2, FZD8, HTRA1, CDH11, MAGEE1, PDGFRB, EDIL3, COL1A1, GREM1, MMP1, TFPI2, GJA1, DAB2, MGP, FBLN5, CXCL12, APLP1, COL4A1, MSX1, BASP1, SERPINE1, COL5A3, CDH6, DPYSL3, FBLN1, ACTA2, MFAP5, LGALS1, FN1, EMP3, CRLF1, BDNF, SCG2, PMP22, GEM, WIPF1, CTHRC1, SDC1, ITGB5, PLAUR, TGFB1, PMEPA1, MATN3, GPC1, ECM1, IL15, MATN2, INHBA, IGFBP2, PLOD1, FBN1, MMP2, TAGLN, 
PCOLCE2, TNFAIP3, COL5A1, RHOB, ENO2, LAMA3, FSTL1, ITGA2, CAPG, LAMC1, CD59, WNT5A, SPOCK1, LRP1, DKK1, FLNA, CXCL1, CTGF, TNFRSF12A"
HALLMARK_KRAS_SIGNALING_DN,4.410950920819421e-4,0.005513688651024276,-0.4930624903995831,-1.6715666831000677,329,122,"SLC5A5, CLDN16, P2RX6, KRT13, EDN2, ARHGDIG, CAMK1D, KRT15, YBX2, KLK8, PRODH, SIDT1, ABCG4, GAMT, SGK1, HTR1D, SNCB, SHOX2, ADRA2C, CCNA1, GPR19, RIBC2, RSAD2, SYNPO, BMPR1B, FGFR3, YPEL1, NTF3, GPR3, LGALS7, RYR1, THRB, CNTFR, IGFBP2, STAG3, CELSR2, TCF7L1, CHST2, BTG2, CLSTN3, SPRR3, DTNB, EGF, MAST3, GPRC5C, LFNG, PDK2"
HALLMARK_G2M_CHECKPOINT,8.525138502158239e-4,0.008525138502158238,-0.43499185299818377,-1.5512663491731524,679,192,"CDKN2C, TROAP, PTTG1, TGFB1, MKI67, LMNB1, E2F2, CCNF, RAD54L, NUSAP1, ESPL1, E2F1, BIRC5, CCNA2, PLK4, AURKB, MEIS2, PRC1, STMN1, CDKN3, PLK1, TACC3, MCM5, BUB1, MAD2L1, MCM6, INCENP, RPS6KA5, CDC6, KPNA2, POLA2, KIF4A, PBK, TOP2A, RACGAP1, CCNB2, MCM2, UBE2C, DMD, FBXO5, CDK1, CKS2, H2AFX, MYBL2, GINS2, EGF, H2AFV, SMC2, UBE2S, AURKA, CHAF1A, MCM3, CDC20, KIF22, HMGA1, TPX2, NEK2, 
CHEK1, FANCC, KIF11, HIST1H2BK, ORC6, CENPA, TMPO, CDC25A, KIF20B, SRSF2, CDC25B, BCL3, TTK, CDC45, KIF23, POLQ, RASAL2, SMC1A, EXO1, DDX39A, SUV39H1, SMC4, POLE, BARD1, CENPF, TLE3, DTYMK, KIF2C, PRIM2, CDKN1B, NASP, CDC7, SQLE, HMMR, E2F3, NDC80, HMGN2, CBX1, SAP30, RPA2, DBF4, MT2A, HNRNPD, RAD21, STIL, HMGB3"
HALLMARK_APICAL_JUNCTION,0.0025910500117658102,0.021592083431381755,-0.43496739101307574,-1.5222271406436445,2014,160,"MYL9, ARHGEF6, CNTN1, CDH11, TRAF1, CDH4, SGCE, GAMT, SYK, RAC2, CDH6, RHOF, SORBS3, CERCAM, INSIG1, TMEM8B, CLDN11, PIK3R3, NRXN2, CRAT, AMIGO2, RRAS, AMH, CNN2, EVL, NRTN, TSPAN4, SIRPA, ICAM5, GNAI1, FBN1, MMP2, CALB2, LIMA1, ITGB4, LAMA3, NLGN2, ITGA2, JAM3, CDH3, ACTN1, MVD, ITGA10, COL17A1, GNAI2, ITGA3, ACTB, VWF, EGFR, LAMC2, ACTN4, CLDN9, MAP4K2, MYH10, CLDN4, MSN, SKAP2, AMIGO1, 
VCL, ACTG1, TUBG1, LAYN, FSCN1, MPZL2, ITGB1, ADAM15, GRB7, HADH"
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0034808767744213993,0.024863405531581426,-0.4215078155858895,-1.4890525783566309,2739,175,"EPSTI1, IFI44, CD74, IFI27, IRF8, TNFSF10, HLA-DRB1, IL7, IFIT1, METTL7B, OASL, OAS2, IFITM2, XAF1, HLA-G, STAT4, C1R, SSPN, IFIT3, RSAD2, BST2, SOCS3, XCL1, DDX60, OAS3, PSMB9, GBP4, IL15, CCL2, PIM1, BANK1, IFI30, PTGS2, IFI35, CMPK2, IFITM3, TNFAIP3, TAPBP, SECTM1, LY6E, ST3GAL5, HLA-DMA, PNP, IFIT2, IFNAR2, CFH, ISG15"
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.009011914409749492,0.056324465060934324,-0.46456500336743567,-1.5156535803856817,6482,91,"IFITM1, EPSTI1, IFI44, CD74, UBA7, IFI27, IL7, OASL, SELL, IFITM2, OAS1, IFIT3, RSAD2, BST2, DDX60, PSMB9, GBP4, IL15, IFI30, IFI35, CMPK2, IFITM3, LPAR6, LY6E, IFIT2, ISG15"
HALLMARK_ANDROGEN_RESPONSE,0.014811929390693921,0.08228849661496623,-0.44892782954379723,-1.4689402159315377,10684,93,"HPGD, IQGAP2, SGK1, AKAP12, ADAMTS1, AZGP1, INSIG1, BMPR1B, MAF, ALDH1A3, SCD, KRT19, PMEPA1, NDRG1, H1F0, HMGCS1, DBI, SPDEF, INPP4B, TMPRSS2, ACTN1, KRT8, FADS1, CCND3, B2M, MERTK, LIFR, SAT1, AKT1, HSD17B14, PTK2B, IDI1, PIAS1, SLC26A2, DHCR24, SEC24D, TNFAIP8, CENPN"
HALLMARK_MYC_TARGETS_V2,0.02506242079773152,0.11593752395674607,0.42642625443341636,1.451182802184344,7989,58,"RABEPK, EXOSC5, MYC, HSPD1, RRP12, AIMP2, PUS1, GNL3, MPHOSPH10, RRP9, WDR43, NOP2, NDUFAF4, SUPV3L1, NOLC1, MYBBP1A, RCL1, PPRC1, NIP7, DDX18, PES1, NOP16, WDR74, MRTO4, IMP4, PPAN, PRMT3, NOP56, BYSL, IPO4, DUSP2, NPM1, SRM"
