pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
HALLMARK_E2F_TARGETS,1.1656356619236951e-6,5.8281783096184754e-5,-0.579789171252902,-2.13697621700574,0,196,"CDKN2C, MXD3, E2F8, CDKN2A, MKI67, TK1, SPC24, CDCA3, DLGAP5, RRM2, PTTG1, ASF1B, SPAG5, ESPL1, LMNB1, AURKB, UBE2T, PCNA, CDCA8, STMN1, CIT, PLK4, TACC3, BIRC5, POLA2, CDKN3, NCAPD2, ATAD2, MYBL2, LIG1, MCM2, CDK1, SPC25, CKS2, TOP2A, MCM5, MAD2L1, KPNA2, RACGAP1, MCM4, POLD1, CENPM, MCM6, HELLS, CCNB2, H2AFX, AURKA, DUT, TCF19, KIF4A, PLK1, MCM3, BUB1B, TUBB, HMMR, SHMT1, TIMELESS, 
KIF18B, DSCC1, HMGB2, CDC20, CHEK1, KIF2C, ORC6, SMC4, MELK, TRIP13, KIF22, DIAPH3, RFC2, DEPDC1, GINS1, UBR7, TMPO, DONSON, GINS4, UBE2S, RPA3, RAD51AP1, RNASEH2A, NASP, MCM7, UNG, CDC25A, ANP32E, MSH2, BARD1, PRIM2, SUV39H1, CENPE, CHEK2, DNMT1, TUBG1, DCTPP1, SLBP, POLE, DCK, WEE1, SRSF2, DCLRE1B, GINS3, RPA2, HMGB3, WDR90, SMC1A, MMS22L, DEK, RFC3, NUP107, CDC25B, PDS5B, CBX5, RBBP7, 
BRCA2, RPA1, RAD21"
HALLMARK_G2M_CHECKPOINT,2.338051911766597e-6,5.8451297794164924e-5,-0.506634512401665,-1.8637461998796157,1,192,"CDKN2C, MKI67, E2F2, E2F1, PTTG1, NUSAP1, ESPL1, LMNB1, AURKB, TROAP, RAD54L, CCNF, CCNA2, STMN1, PBK, PLK4, TACC3, CENPA, BUB1, PRC1, BIRC5, INCENP, POLA2, FBXO5, CDKN3, MYBL2, MCM2, CDK1, CKS2, TOP2A, MCM5, MAD2L1, KPNA2, RACGAP1, MCM6, GINS2, CCNB2, H2AFX, AURKA, TPX2, KIF11, KIF4A, PLK1, MCM3, HMMR, EGF, CDC6, SQLE, UBE2C, TTK, KIF20B, POLQ, CENPF, NEK2, CDC20, CHEK1, DMD, KIF2C, 
ORC6, SMC4, TGFB1, H2AFV, KIF22, KIF23, MT2A, TMPO, FANCC, UBE2S, SMC2, NASP, CDC45, CBX1, CDC25A, NDC80, CHAF1A, CDC7, KIF15, EXO1, BARD1, PRIM2, SUV39H1, CENPE, HIST1H2BK, POLE, STIL, SRSF2, MEIS2, RPA2, HMGB3, RASAL2, SMC1A, RPS6KA5, CDC25B, PDS5B, DBF4, BRCA2, BCL3, RAD21, HMGN2, SMAD3, RBM14, DDX39A, PML, CASP8AP2, TFDP1, H2AFZ"
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,4.7431804922472715e-6,7.90530082041212e-5,0.5950658859520679,2.3916948711996078,0,107,"CHAC1, STC2, ERN1, ATF3, ASNS, PSAT1, DDIT4, CEBPG, CEBPB, SLC7A5, MTHFD2, HERPUD1, VEGFA, XPOT, EIF4EBP1, ATF4, IARS, HSPA9, XBP1, ATF6, TARS, HYOU1, SLC1A4, EXOSC5, HSPA5, WIPI1, EDEM1, DNAJB9, RRP9, DKC1, SDAD1, SRPRB, TSPYL2, EXOSC1, KIF5B, DDX10, PARN, NOP14, GOSR2, YIF1A"
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.2992351048600842e-5,1.624043881075105e-4,-0.4784261187001012,-1.7472123965674673,10,178,"MYL9, NNMT, VIM, FZD8, TGM2, COL8A2, HTRA1, COL1A1, MSX1, TFPI2, APLP1, MAGEE1, MFAP5, FBLN5, CTHRC1, ACTA2, FN1, LGALS1, FBLN1, DAB2, PMP22, DPYSL3, IL15, MATN2, MGP, CRLF1, COL4A1, GEM, SDC1, SERPINE1, PDGFRB, CDH11, EDIL3, BDNF, ENO2, CDH6, FBN1, ITGB5, EMP3, FSTL1, CADM1, VCAN, ADAM12, PCOLCE, WIPF1, ECM1, IGFBP2, MMP1, TNFAIP3, PLOD2, PLOD1, BASP1, FBLN2, VEGFC, LRP1, PLAUR, RHOB, 
TGFB1, CTGF, NTM, CD59, BMP1, GREM1, TNC, LOXL1, INHBA, CALD1, FOXC2, COL5A3, COL5A1, MCM7, CDH2, THBS1"
HALLMARK_KRAS_SIGNALING_DN,5.414057132615774e-4,0.005414057132615774,-0.46991614083748706,-1.6469506059744323,434,122,"SLC5A5, KRT15, P2RX6, CALML5, EDN2, YBX2, CAMK1D, KLK8, RIBC2, SNCB, GPR19, FGFR3, GPR3, HTR1D, ARHGDIG, SIDT1, CLDN16, IRS4, ABCG4, RSAD2, CNTFR, SGK1, SYNPO, ADRA2C, TCF7L1, NTF3, YPEL1, IGFBP2, LFNG, SLC38A3, EGF, EFHD1, PDK2, CELSR2, RYR1, GAMT, LYPD3, SNN, CYP39A1, DTNB, NR4A2, PTGFR, CLDN8, CLSTN3, STAG3, BARD1, BTG2, MX1, MAST3"
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0014998270924725,0.0124985591039375,-0.4845600068241755,-1.6357200740382567,1157,91,"UBA7, EPSTI1, IFITM1, IFI44, GBP2, SELL, IL7, IFIT3, BST2, OAS1, IL15, OASL, RSAD2, CMPK2, GMPR, DDX60, IFITM3, PSMB9, IFI30, LY6E, C1S, GBP4, IFIT2, IFI27, PARP9, CSF1, TRIM5, CD47, B2M, CASP1, IL4R, ISG15, MX1, PLSCR1, TRIM21, LGALS3BP, DHX58, CNP, LPAR6, PSMB8, IFITM2, MOV10, RTP4, TAP1, PSME1"
HALLMARK_MTORC1_SIGNALING,0.002273043236479911,0.01623602311771365,0.3296852269106531,1.4350354542018413,326,193,"FAM129A, TRIB3, DDIT3, WARS, ASNS, BCAT1, CTH, PSAT1, IFRD1, SLC7A11, DDIT4, TCEA1, SLC7A5, MTHFD2, VLDLR, PSPH, GOT1, TES, HSPA9, EPRS, XBP1, SYTL2, SHMT2, PPP1R15A, SLC1A5, NFIL3, IDH1, ME1, PDK1, SLC1A4, EIF2S2, PHGDH, NUPR1, HSPA5, HSPD1, EDEM1"
HALLMARK_APICAL_JUNCTION,0.003011380187947526,0.018821126174672038,-0.41646960048122317,-1.5046098468347373,2511,160,"MYL9, CNTN1, INSIG1, ARHGEF6, CERCAM, SYK, SORBS3, CLDN11, NFASC, CDH4, RAC2, NRXN2, NRTN, RHOF, PIK3R3, CDH11, ICAM5, CDH6, CRAT, CALB2, FBN1, RRAS, TMEM8B, VWF, KCNH2, VCAN, LIMA1, PARD6G, SIRPA, GNAI1, MVD, CNN2, TSPAN4, EVL, NLGN2, HADH, BMP1, GAMT, JAM3, CDH3, MYH10, NEGR1, AMH, MPZL2, CLDN8, FSCN1, SGCE, GNAI2, ACTN1, ITGA10, CD276, VCL"
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.00608843505195654,0.03135995372395077,-0.397164133671297,-1.4480337522615048,5141,175,"EPSTI1, C1R, IFIT1, OAS2, IFI44, TNFSF10, IRF8, XAF1, IL7, METTL7B, IFIT3, BST2, OAS3, IL15, OASL, CCL2, ST3GAL5, RSAD2, HLA-DMA, SOCS3, CMPK2, SSPN, DDX60, HLA-DRB1, IFITM3, PSMB9, IFI30, XCL1, LY6E, C1S, TNFAIP3, SLAMF7, GBP4, TAPBP, NLRC5, IFIT2, SECTM1, IFI27, PNP, IFNAR2, SAMHD1, CASP7, PIM1, MT2A, HLA-G, B2M, CASP1, PSMA2, IL4R, FAS, ISG15, MX1, PLSCR1, TRIM21, LGALS3BP, DHX58, 
VAMP8, CIITA, NOD1, PSMB8, MX2, TNFAIP2, PDE4B, IFITM2"
HALLMARK_MITOTIC_SPINDLE,0.006271990744790154,0.03135995372395077,-0.3886809216309445,-1.4319560875531414,5377,195,"DLGAP5, ANLN, MID1, PLEKHG2, NUSAP1, RHOF, DOCK4, PIF1, ESPL1, LMNB1, SYNPO, BUB1, PRC1, BIRC5, INCENP, FBXO5, CDK1, ECT2, TOP2A, RACGAP1, CCNB2, AURKA, GSN, TPX2, KIF11, KIF4A, PLK1, SUN2, CDC42EP4, TTK, KIF20B, BIN1, CENPF, NEK2, KIF2C, SMC4, SEPT9, NEDD9, CENPJ, KIF22, KIF23, KNTC1, MYH10, TUBA4A, ITSN1, KIF3C, FSCN1, KPTN, NDC80, TUBGCP6, KIF15, VCL, ARHGAP4, CENPE, TIAM1, ARHGDIA, 
BCL2L11, CEP192, RASAL2, MYO9B, ACTN4, FLNA, PALLD, SMC1A"
